"sip","sport","dip","dport","proto","first_timestamp","total_time","pkt_fwd_count","pl_fwd_count","last_timestamp_fwd","pl_len_fwd_mean","pl_len_fwd_stdev","pl_len_fwd_total","pl_len_fwd_min","pl_len_fwd_max","pkt_len_fwd_mean","pkt_len_fwd_stdev","pkt_len_fwd_total","pkt_len_fwd_min","pkt_len_fwd_max","pkt_bwd_count","pl_bwd_count","last_timestamp_bwd","pl_len_bwd_mean","pl_len_bwd_stdev","pl_len_bwd_total","pl_len_bwd_min","pl_len_bwd_max","pkt_len_bwd_mean","pkt_len_bwd_stdev","pkt_len_bwd_total","pkt_len_bwd_min","pkt_len_bwd_max","dd","dn","dns","ds","application","app","traffic_type","label"
"192.168.0.114",55776,"192.168.0.1",53,17,1721793668746859,115,2,2,1721793668746859,38,0,76,38,38,66,0,132,66,66,2,2,1721793668746974,125,0,250,125,125,153,0,306,153,153,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.114",58368,"142.251.36.163",443,17,1721793668748484,75150,22,22,1721793668816746,535.4545,562.1663,11780,31,1250,563.4545,562.1663,12396,59,1278,24,24,1721793668823634,614.9167,542.58386,14758,21,1250,642.9167,542.58374,15430,49,1278,"Youtube","Google","beacons.gcp.gvt2.com/beacons-handoff.gcp.gvt2.com","Unknown","Youtube","Amazon","Unknown","dns"
"192.168.0.131",57826,"23.20.45.252",443,6,1721793668755749,4604754,17,7,1721793673360503,486.42856,432.35266,3405,38,1348,253,366.06958,4301,52,1400,14,7,1721793673096996,710.8571,558.9507,4976,78,1348,408,531.16895,5712,52,1400,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Unknown","dns"
"192.168.0.131",57827,"23.20.45.252",443,6,1721793668776227,4584358,62,39,1721793673360585,377.10257,343.79474,14707,38,1348,289.40323,327.7846,17943,52,1400,46,27,1721793673096997,478.96295,376.01395,12932,38,1348,333.30435,372.16666,15332,52,1400,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Unknown","dns"
"192.168.0.119",62545,"192.168.0.1",53,17,1721793668837068,7471756,6,6,1721793671850964,52,0,312,52,52,80,0,480,80,80,6,6,1721793676308824,52,0,312,52,52,80,0,480,80,80,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.114",50697,"192.168.0.1",53,17,1721793668857536,126046,2,2,1721793668857536,33,0,66,33,33,61,0,122,61,61,2,2,1721793668983582,128,0,256,128,128,156,0,312,156,156,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.114",62039,"192.168.0.1",53,17,1721793668857742,117891,2,2,1721793668857742,33,0,66,33,33,61,0,122,61,61,2,2,1721793668975633,189,0,378,189,189,217,0,434,217,217,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.114",57165,"13.32.5.51",443,6,1721793668984104,241620278,29,13,1721793910603315,293.6154,505.47504,3817,1,1440,172.03448,368.4487,4989,40,1480,65,52,1721793910604382,1199.0962,494.66946,62353,14,1440,1000.38464,650.92114,65025,40,1480,"Amazon","Amazon","read.amazon.com/d3uye3v7bpwqwr.cloudfront.net","Unknown","Amazon","Zoom","Unknown","dns"
"192.168.0.131",57828,"23.20.45.252",443,6,1721793669011085,4349557,10,3,1721793673360642,665.3333,509.07062,1996,126,1348,252.8,412.60168,2528,52,1400,10,6,1721793673097043,763.3333,588.33997,4580,69,1348,510.8,588.899,5108,52,1400,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Unknown","dns"
"192.168.0.131",57829,"23.20.45.252",443,6,1721793669027847,616783,8,2,1721793669644630,967,381,1934,586,1348,290.75,461.66324,2326,40,1400,8,4,1721793669463952,1084.75,455.96243,4339,295,1348,595.375,630.1141,4763,52,1400,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Unknown","dns"
"192.168.0.131",57830,"23.20.45.252",443,6,1721793669081482,286725,2,0,1721793669368207,0,0,0,0,0,52,12,104,40,64,1,0,1721793669186891,0,0,0,0,0,60,0,60,60,60,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Unknown","dns"
"192.168.0.131",57831,"23.20.45.252",443,6,1721793669081527,1296986,2,0,1721793670378513,0,0,0,0,0,52,12,104,40,64,2,0,1721793670196539,0,0,0,0,0,60,0,120,60,60,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Unknown","dns"
"192.168.0.131",57832,"23.20.45.252",443,6,1721793669081627,290277,2,0,1721793669371904,0,0,0,0,0,52,12,104,40,64,1,0,1721793669191634,0,0,0,0,0,60,0,60,60,60,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Unknown","dns"
"192.168.0.131",57833,"23.20.45.252",443,6,1721793669089119,290205,2,0,1721793669379324,0,0,0,0,0,52,12,104,40,64,1,0,1721793669198208,0,0,0,0,0,60,0,60,60,60,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Unknown","dns"
"192.168.0.65",59155,"142.251.37.3",443,17,1721793669626061,5046279,26,26,1721793674672340,276.23077,440.98196,7182,31,1250,304.23077,440.98196,7910,59,1278,30,30,1721793674671545,313.73334,440.53354,9412,22,1250,341.73334,440.53354,10252,50,1278,"Google","Google","ssl.gstatic.com","Unknown","Google","Meta","Unknown","dns"
"192.168.0.65",60818,"142.251.36.163",443,17,1721793669664443,83784,20,20,1721793669748227,523,592.29584,10460,31,1250,551,592.29584,11020,59,1278,22,22,1721793669747266,443.0909,499.46835,9748,21,1250,471.0909,499.46835,10364,49,1278,"Youtube","Google","beacons.gcp.gvt2.com/beacons-handoff.gcp.gvt2.com","Unknown","Youtube","Unknown","Unknown","dns"
