sip,sport,dip,dport,proto,first_timestamp,total_time,pkt_fwd_count,pl_fwd_count,last_timestamp_fwd,pl_len_fwd_mean,pl_len_fwd_stdev,pl_len_fwd_total,pl_len_fwd_min,pl_len_fwd_max,pkt_len_fwd_mean,pkt_len_fwd_stdev,pkt_len_fwd_total,pkt_len_fwd_min,pkt_len_fwd_max,pkt_bwd_count,pl_bwd_count,last_timestamp_bwd,pl_len_bwd_mean,pl_len_bwd_stdev,pl_len_bwd_total,pl_len_bwd_min,pl_len_bwd_max,pkt_len_bwd_mean,pkt_len_bwd_stdev,pkt_len_bwd_total,pkt_len_bwd_min,pkt_len_bwd_max,dd,dn,dns,ds,application,app,traffic_type,label,pkt_flow_fwd_count,pkt_flow_bwd_count,pl_flow_fwd_count,pl_flow_bwd_count,pkt_count_ratio,pkt_bytes_ratio,pl_count_ratio,pl_bytes_ratio,time_difference_seconds,bucket
192.168.0.119,53101,192.168.0.1,53,17,1721793602,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,2,2,1721793602955958,52.0,0.0,104,52,52,80.0,0.0,160,80,80,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dns,0,1,0,1,2.0,,2.0,,0,
192.168.0.119,59249,192.168.0.1,53,17,1721793602,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,2,2,1721793602955979,52.0,0.0,104,52,52,80.0,0.0,160,80,80,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dns,0,1,0,1,2.0,,2.0,,0,
192.168.0.119,52616,192.168.0.1,53,17,1721793603,235,2,2,1721793603058477,52.0,0.0,104,52,52,80.0,0.0,160,80,80,2,2,1721793603058712,52.0,0.0,104,52,52,80.0,0.0,160,80,80,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dns,1,1,1,1,0.6666666666666666,1.0,0.6666666666666666,1.0,1,0
192.168.0.65,58210,192.168.0.1,53,6,1721793606,1127,6,2,1721793606679129,17.5,15.5,35,2,33,47.833332,12.033523,287,40,73,6,1,1721793606679028,51.0,0.0,51,51,51,50.5,18.634645,303,40,91,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dns,1,1,1,1,0.8571428571428571,1.0557491289198606,0.3333333333333333,1.457142857142857,4,0
192.168.0.65,58211,192.168.0.1,53,6,1721793606,21987,6,2,1721793606700066,17.5,15.5,35,2,33,47.833332,12.033523,287,40,73,6,1,1721793606699964,92.0,0.0,92,92,92,57.333332,33.67822,344,40,132,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dns,1,1,1,1,0.8571428571428571,1.1986062717770034,0.3333333333333333,2.6285714285714286,4,0
192.168.0.119,57670,192.168.0.1,53,17,1721793607,351,2,2,1721793607828772,52.0,0.0,104,52,52,80.0,0.0,160,80,80,2,2,1721793607829123,52.0,0.0,104,52,52,80.0,0.0,160,80,80,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dns,1,1,1,1,0.6666666666666666,1.0,0.6666666666666666,1.0,5,0
192.168.0.65,58213,192.168.0.1,53,6,1721793610,23456,6,2,1721793610385599,27.0,25.0,54,2,52,51.0,18.823742,306,40,92,6,1,1721793610385498,104.0,0.0,104,104,104,59.333332,38.116783,356,40,144,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dns,1,1,1,1,0.8571428571428571,1.1633986928104576,0.3333333333333333,1.9259259259259258,8,0
192.168.0.65,58214,192.168.0.1,53,6,1721793610,3626,6,2,1721793610366345,17.5,15.5,35,2,33,47.833332,12.033523,287,40,73,6,1,1721793610366288,51.0,0.0,51,51,51,50.5,18.634645,303,40,91,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dns,1,1,1,1,0.8571428571428571,1.0557491289198606,0.3333333333333333,1.457142857142857,8,0
192.168.0.65,58215,192.168.0.1,53,6,1721793610,871,6,2,1721793610363671,17.5,15.5,35,2,33,47.833332,12.033523,287,40,73,6,1,1721793610363610,92.0,0.0,92,92,92,57.333332,33.67822,344,40,132,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dns,1,1,1,1,0.8571428571428571,1.1986062717770034,0.3333333333333333,2.6285714285714286,8,0
192.168.0.65,58216,192.168.0.1,53,6,1721793610,26802,6,2,1721793610437017,17.5,15.5,35,2,33,47.833332,12.033523,287,40,73,6,1,1721793610436939,51.0,0.0,51,51,51,50.5,18.634645,303,40,91,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dns,1,1,1,1,0.8571428571428571,1.0557491289198606,0.3333333333333333,1.457142857142857,8,0
